fila,campo,valor_original,valor_nuevo,motivo
70,f_03,4,2,inversión: item negativo recodificado
70,f_05,2,4,inversión: item negativo recodificado
71,f_01,1,5,inversión: item negativo recodificado
71,f_02,1,5,inversión: item negativo recodificado
71,f_03,1,5,inversión: item negativo recodificado
71,f_05,1,5,inversión: item negativo recodificado
72,f_01,2,4,inversión: item negativo recodificado
72,f_02,2,4,inversión: item negativo recodificado
72,f_03,2,4,inversión: item negativo recodificado
72,f_05,2,4,inversión: item negativo recodificado
73,f_01,4,2,inversión: item negativo recodificado
73,f_02,4,2,inversión: item negativo recodificado
73,f_03,2,4,inversión: item negativo recodificado
73,f_05,2,4,inversión: item negativo recodificado
74,f_01,4,2,inversión: item negativo recodificado
74,f_02,4,2,inversión: item negativo recodificado
74,f_03,4,2,inversión: item negativo recodificado
74,f_05,4,2,inversión: item negativo recodificado
75,f_01,2,4,inversión: item negativo recodificado
75,f_02,2,4,inversión: item negativo recodificado
75,f_03,2,4,inversión: item negativo recodificado
75,f_05,2,4,inversión: item negativo recodificado
76,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
76,f_01,1,5,inversión: item negativo recodificado
76,f_02,1,5,inversión: item negativo recodificado
76,f_03,1,5,inversión: item negativo recodificado
76,f_05,1,5,inversión: item negativo recodificado
77,f_01,2,4,inversión: item negativo recodificado
77,f_02,2,4,inversión: item negativo recodificado
77,f_03,2,4,inversión: item negativo recodificado
77,f_05,4,2,inversión: item negativo recodificado
78,f_01,5,1,inversión: item negativo recodificado
78,f_02,1,5,inversión: item negativo recodificado
78,f_03,1,5,inversión: item negativo recodificado
78,f_05,1,5,inversión: item negativo recodificado
79,f_01,1,5,inversión: item negativo recodificado
79,f_02,2,4,inversión: item negativo recodificado
79,f_03,1,5,inversión: item negativo recodificado
79,f_05,1,5,inversión: item negativo recodificado
80,f_01,4,2,inversión: item negativo recodificado
80,f_02,4,2,inversión: item negativo recodificado
80,f_03,4,2,inversión: item negativo recodificado
80,f_05,2,4,inversión: item negativo recodificado
81,f_01,1,5,inversión: item negativo recodificado
81,f_02,1,5,inversión: item negativo recodificado
81,f_03,2,4,inversión: item negativo recodificado
81,f_05,1,5,inversión: item negativo recodificado
82,f_01,4,2,inversión: item negativo recodificado
82,f_02,5,1,inversión: item negativo recodificado
82,f_03,4,2,inversión: item negativo recodificado
82,f_05,5,1,inversión: item negativo recodificado
83,f_01,2,4,inversión: item negativo recodificado
83,f_02,2,4,inversión: item negativo recodificado
83,f_03,4,2,inversión: item negativo recodificado
83,f_05,2,4,inversión: item negativo recodificado
84,f_01,1,5,inversión: item negativo recodificado
84,f_02,1,5,inversión: item negativo recodificado
84,f_03,1,5,inversión: item negativo recodificado
84,f_05,1,5,inversión: item negativo recodificado
85,f_01,2,4,inversión: item negativo recodificado
85,f_02,2,4,inversión: item negativo recodificado
85,f_03,2,4,inversión: item negativo recodificado
